Species,Cname,LDMC,WD,SDMC,LA,SLA,YLS,LT,tlp
C5,版纳柿,0.553033998,0.668577198,0.586851476,14.5934954,180.0213139,54.12222222,0.105722222,-1.321238287
C6,棒柄花,0.320583367,0.442048355,0.447303988,54.39351061,241.3526375,46.11111111,0.150333333,-1.505364779
C7,棒果榕,0.391797595,0.576086957,0.448392555,36.38222122,180.0938801,66.66666667,0.181333333,-1.923347654
C8,包疮叶,0.285765318,0.524541057,0.468158414,71.59527715,188.4447794,48.64444444,0.126833333,
C9,北酸脚杆,0.27412361,0.190304269,0.179492775,20.90374162,218.1445922,47.57777778,0.140833333,
Sn1,碧绿米仔兰,0.557503502,0.733933605,0.624948225,12.7396828,215.7183787,51.76666667,0.067722222,
C12,赪桐,0.15268583,0.404675389,0.366096982,68.53266949,413.481531,32.68888889,0.115444444,-1.392895491
C15,刺通草,0.229839911,0.282662802,0.267944597,204.8456429,191.4108509,41.80555556,0.194833333,-1.181176254
C16,粗丝木,0.296884219,0.481709402,0.445635564,26.63392173,177.859187,59.85,0.408333333,-1.633781205
C18,大参,0.251338901,0.316006594,0.312104693,56.53288566,236.1891056,47.6,0.173111111,-1.261541435
C21,大果臀果木,0.373922994,0.569248861,0.48493831,73.76288647,216.9995809,52.68888889,0.123222222,-1.529495317
C22,大叶斑鸠菊,0.213742443,0.284299242,0.261702247,45.14249018,315.4924894,36.33333333,0.145333333,-1.147183671
C23,大叶风吹楠,0.21368297,0.359503215,0.362530992,179.0060569,148.8972185,48.46666667,0.214833333,
C24,大叶木兰,0.356858845,0.463099274,0.442691258,167.6174177,170.8578915,54.95,0.143333333,
Sn3,大叶藤黄,0.38476426,0.653326997,0.570735286,122.1578625,80.21808821,66.53333333,0.295277778,
C26,大叶鱼骨木,0.382478689,0.761875806,0.59381492,20.57955537,189.4974516,57.04444444,0.116666667,
Sn4,大叶玉兰,0.298440064,0.393333333,0.380645161,34.62652524,193.7618907,44.36666667,0.123666667,
C27,大叶锥,0.470205115,0.848529412,0.618435155,59.53390884,180.4870285,44,0.142,-1.690225679
C29,滇谷木,0.421475214,0.791711715,0.667078314,8.157625905,116.6023658,62.88333333,0.181277778,-1.720651139
C30,滇南九节,0.231563647,0.464048308,0.407685189,84.45732201,197.7292834,53.11111111,0.155111111,-1.350929339
C32,滇南新乌檀,0.291600867,0.471416882,0.425004728,83.76970037,149.2160328,56.55555556,0.203388889,
C33,滇茜树,0.323899903,0.506989418,0.441026113,40.81170654,251.816081,33.42222222,0.076666667,-1.515226825
Sn5,滇印杜英,0.387825866,0.629995547,0.575996234,76.99132665,190.9815194,52.8,0.085666667,
C37,毒鼠子,0.440741524,0.717694126,0.606876248,21.48072179,219.7581511,44.45555556,0.109222222,-1.545022793
C38,短柄苹婆,0.339574961,0.240967121,0.239620897,38.96835645,248.4787151,40.52222222,0.121555556,-1.5689435
C39,短刺锥,0.508582599,0.827002949,0.616817688,28.74454604,138.3685155,43.53333333,0.140444444,-1.380305646
C41,短序鹅掌柴,0.244034106,0.266832466,0.273254376,45.41041508,224.3978884,37.71111111,0.1765,
C42,椴叶山麻杆,0.34968505,0.616144253,0.561805162,128.2926369,1258.04203,33.73333333,0.113666667,-1.371282923
C44,对叶榕,0.295936637,0.393550035,0.346267548,183.134012,181.3407041,51.03333333,0.240166667,
C45,钝叶桂,0.544548871,0.626812947,0.530381457,53.30294009,140.6090513,52.82222222,0.120222222,-1.21579833
Sn7,多籽五层龙,0.336820893,0.590375485,0.517128732,59.3157391,193.4625534,47.18888889,0.159944444,
C49,耳叶柯,0.453818139,0.636599563,0.544110827,193.6746182,149.9180818,38.64444444,0.1525,-1.978113483
C50,番龙眼,0.781144926,0.685278491,0.581733826,14.13137238,318.5348574,40.28888889,0.059333333,-1.443045043
C53,风吹楠,0.226582258,0.376548255,0.411053383,126.3043073,171.8230006,52.21666667,0.224083333,
C55,枹丝锥,0.470219369,0.697565522,0.550858399,68.02335379,144.2217543,45.08888889,0.140111111,
C56,橄榄,0.421267339,0.470299972,0.429075191,54.59838528,272.1643377,42.43333333,0.094222222,
C57,高檐蒲桃,0.438290489,0.606638889,0.380249067,9.246799398,198.9528053,43.63333333,0.123833333,-1.512499025
C58,光序肉实树,0.403490439,0.515823844,0.46417569,50.18252775,185.4600102,46.26666667,0.134555556,-1.312740141
Sn8,广州蛇根草,0.189549169,0.306000047,0.275931995,53.24190776,271.0512592,50.62222222,0.172555556,
C59,海南破布叶,0.581733573,0.6,0.532667179,60.62284215,175.4082418,43.86666667,0.11,
Sn9,海桐叶柃,0.519347037,0.622165815,0.525263266,17.96881443,216.9860662,43.64444444,0.125888889,
C60,合果木,0.376887609,0.388083009,0.38501699,68.13805559,157.8764336,31.37222222,0.158888889,
C61,黑毛柿,0.471317404,0.619362455,0.558135555,60.80918969,137.0915693,51.23333333,0.175666667,-1.390167692
C62,黑皮柿,0.388636679,0.53508673,0.507963108,28.14164819,176.4839366,58.03333333,0.176555556,-1.618043898
C64,红光树,0.411731157,0.463653288,0.449380677,100.2532623,131.1320122,61.74,0.174166667,-1.139629764
C65,红果樫木,0.34100704,0.631113262,0.559483837,68.5036939,163.9471828,54,0.128333333,
C66,红花木犀榄,0.505726778,0.668980415,0.59184143,42.68912209,148.435143,47.42222222,0.132888889,
C67,红皮水锦树,0.305124896,0.520454545,0.46299407,34.90136433,220.1258491,27.1,0.113166667,
C68,红锥,0.50309593,0.699135276,0.596252263,33.78312641,148.4502393,51.43333333,0.133888889,-1.568314007
C69,猴耳环,0.492149648,0.593317484,0.517208406,4.517083139,206.3910953,53.23888889,0.119555556,-1.445982674
C70,虎克粗叶木,0.389877757,0.561557693,0.497743042,42.3189835,174.8841697,47.67222222,0.165888889,-1.155996563
C73,黄毛榕,0.236981657,0.314293248,0.30518819,180.1216405,189.4880727,46.03333333,0.288444444,
C74,黄棉木,0.38135802,0.554353305,0.511287415,76.40329615,116.192991,44.27777778,0.190444444,
C75,黄木巴戟,0.27334005,0.49386282,0.455852751,69.39811749,261.2021343,48.83333333,0.093111111,
C77,火烧花,0.274671852,0.27342305,0.263232355,32.92777379,209.9883486,47.57777778,0.167111111,-1.475778642
C78,火焰花,0.248069663,0.438659057,0.39224343,106.5355551,158.1754747,46.58888889,0.174888889,
C79,鸡脚簕,0.38559549,0.753755035,0.601300972,56.02953296,154.230458,65.05555556,0.137833333,
C80,假海桐,0.402709483,0.636538922,0.540906537,43.0890416,164.6908502,54.2,0.201666667,-1.391007015
C81,假黄皮,0.289286277,0.635853659,0.584199315,4.529749616,335.5451288,46.68333333,0.096416667,-1.737647431
C82,假辣子,0.384490563,0.639487386,0.581238409,57.12958018,125.3549652,48.23333333,0.154111111,
C83,假萍婆,0.338949802,0.465005325,0.439762174,128.8877631,192.4268424,42.11666667,0.127555556,-1.276859081
Sn13,假斜叶榕,0.417565631,0.567127572,0.461706048,44.95081372,244.1208784,53.10555556,0.115611111,-1.006282315
C85,假樱叶杜英,0.440097131,0.7828125,0.605804111,17.9276585,182.8244288,28.76666667,0.089333333,
Sn14,假玉桂,0.341324446,0.651563131,0.551681034,23.830102,213.7894762,47,0.126277778,-1.531173963
C86,尖叶厚壳桂,0.434893785,0.504699423,0.473819523,111.2170893,150.0015126,54.35,0.18925,
C89,浆果乌桕,0.307613565,0.299195031,0.317546538,47.61957063,186.5661491,37.25555556,0.124833333,
C90,金钩花,0.499168566,0.629924512,0.552837781,38.82159738,230.9686273,43.83333333,0.133777778,-1.540931093
Sn15,蒟子,0.290549942,0.490741325,0.430732867,49.81889725,201.921444,47.05555556,0.137222222,
C94,阔叶蒲桃,0.410006569,0.585770273,0.470139872,35.46364085,138.8687201,55.38888889,0.147,-1.224611222
C95,阔叶肖榄,0.443427446,0.516562474,0.481806532,80.4512541,163.6573105,55.84444444,0.133333333,-1.528236332
Sn16,蜡质水东哥,0.211746486,0.270961343,0.249331075,102.7401373,238.1535052,37.46666667,0.154722222,-0.902101343
C96,棱枝杜英,0.361615024,0.478728636,0.458388469,62.43973923,223.659741,43.68888889,0.110222222,-1.63797782
C97,李榄,0.61447196,0.68952381,0.624137931,58.66516368,148.8957263,53.46666667,0.117,
C98,亮叶山小橘,0.37861033,0.665085441,0.590703012,21.32937707,193.1189124,57.4,0.133944444,
C99,裂果金花,0.368476516,0.440839387,0.448895901,34.21798791,153.7260061,33.66666667,0.175333333,-1.176350147
C100,林生斑鸠菊,0.259066532,0.398982775,0.383399346,85.76486291,126.2234264,40.14444444,0.277944444,
C101,岭罗麦,0.365090218,0.544612531,0.487503023,107.6641091,130.5983551,55.82222222,0.141666667,
C103,轮叶戟,0.49923109,0.650307446,0.623619371,28.54679786,173.9228728,49.01111111,0.095111111,-1.590975729
C107,毛杜茎山,0.219838029,0.276455091,0.247128332,76.56634501,189.7083768,46.37777778,0.169833333,
Sn17,毛果杜英,0.506013672,0.550191784,0.516105391,177.0477066,142.6477457,48.31111111,0.100611111,
Sn18,毛果算盘子,0.535438705,0.608969197,0.533029961,44.84433873,201.8288087,44.8,0.110722222,
C109,毛果枣,0.418818076,0.57984708,0.550273913,17.20822285,254.4309275,42.54444444,0.091944444,
C110,毛猴欢喜,0.540538539,0.663868613,0.569862155,60.64081065,215.0823317,46.6,0.084666667,-1.463660915
C112,毛腺萼木,0.194088056,0.227653465,0.220369636,49.55927891,324.9018664,45.37777778,0.104666667,
Sn19,毛叶榄,0.412313431,0.59865353,0.517874514,56.89312363,259.0342314,47.01666667,0.078833333,
C114,毛枝翼核果,0.48637996,0.485606061,0.562788793,7.126500977,281.0804063,45.08333333,0.090833333,
C115,湄公锥,0.491318656,0.609475971,0.536342011,103.3299469,148.3378279,49.77222222,0.133222222,
C116,美果九节,0.246068846,0.399326484,0.324282911,28.30160014,226.3837111,54.7,0.161888889,-1.244125482
C117,美脉杜英,0.644825876,0.662001169,0.521436281,42.59162309,200.3868853,44.25555556,0.091555556,-1.484591534
C119,勐腊核果木,0.505986491,0.658165182,0.552825538,34.94931313,212.9148365,44.05555556,0.098777778,-1.22964716
C120,勐仑翅子树,0.481839786,0.604075028,0.545047679,18.4059153,223.2862715,50.46666667,0.124333333,-1.464447781
C122,密花火筒树,0.382236534,0.550375408,0.457532909,117.1716885,179.6211114,45.31111111,0.142666667,
C123,密花樫木,0.332419882,0.53684013,0.501414456,62.23239602,183.3545691,60.45555556,0.167055556,
C126,木奶果,0.365272918,0.516989253,0.472435747,80.00101132,183.0104909,46.88888889,0.153555556,-1.038910998
C127,木紫珠,0.29926841,0.286532041,0.327231625,102.3692843,160.0765538,42.74444444,0.2255,
C129,纽子果,0.255223369,0.529490132,0.46168557,51.40216743,169.4089439,40.27222222,0.1715,
C130,披针叶楠,0.461273103,0.525316828,0.466394064,59.00751984,154.3358889,47.66666667,0.130444444,-1.354286632
C133,普文楠,0.31552211,0.374776083,0.390727357,91.19831255,200.0114925,43.37777778,0.127888889,-1.255666174
C135,青藤公,0.434357516,0.615260131,0.523098698,48.1404135,241.6239026,37.43333333,0.122444444,-1.724113347
Sn20,秋枫,0.215554074,0.368608534,0.332599662,42.08383454,260.5844585,41.96666667,0.162944444,-0.933575957
Sn21,全叶火麻,0.17359299,0.220851152,0.204922006,63.61143833,288.8092328,42.48888889,0.150777778,-1.402337876
C137,染木树,0.298137019,0.593205084,0.528344244,91.37686729,231.0166209,46.03333333,0.088166667,
C139,绒毛肉实树,0.47143667,0.522617807,0.469981544,72.78144709,203.4949011,42.92222222,0.131,
C140,三桠苦,0.303797356,0.382727824,0.415561454,41.87629191,183.4241197,50.07777778,0.153666667,
C142,山地五月茶,0.431471003,0.495832515,0.445994552,45.22375637,218.5926126,44.44444444,0.1615,-1.218316299
Sn22,山椤,0.338604365,0.648289989,0.580770523,29.89011199,273.5751933,39.88888889,0.101555556,
C145,山木患,0.567340586,0.629134357,0.569535284,31.24125184,242.0062311,42.66666667,0.102666667,-1.716244693
C147,韶子,0.494906994,0.729223647,0.605985532,38.42424054,203.6788613,45.8,0.089333333,-1.683825841
C149,水同木,0.291375099,0.429333494,0.364719533,189.5803283,193.1999894,58.71111111,0.140111111,-1.251049897
C150,思茅黄润楠,0.473111966,0.607325064,0.557494729,143.1417855,148.7809968,42.76666667,0.120888889,
C151,思茅木姜子,0.316787326,0.44527845,0.473846947,72.63968913,133.6057288,62.13333333,0.168,
C155,梭果玉蕊,0.356958632,0.492838597,0.43805506,74.36649365,184.8674626,44.23333333,0.161388889,-1.194395592
C158,泰国黄叶树,0.383655138,0.647686279,0.55788059,81.72183524,167.0931801,52.08888889,0.153,
C159,藤春,0.525509838,0.572955795,0.53617999,28.88706052,244.3995016,48.88888889,0.126833333,-1.398351091
Sn24,托叶黄檀,0.373580853,0.401506071,0.419213063,5.193687609,361.0980425,42.06666667,0.099,
C163,弯管花,0.254869729,0.409229881,0.381523423,70.90387938,220.6854219,51.47777778,0.119388889,-1.163865216
C164,网脉肉托果,0.428715324,0.401437782,0.441864856,56.69902547,234.365381,47.45555556,0.114111111,-1.392056168
C165,网叶山胡椒,0.428686831,0.481079842,0.467290198,58.26407411,264.555975,41.07777778,0.089444444,-1.206985438
C166,望谟崖摩,0.496088631,0.714156053,0.570360255,30.99092144,170.8849917,60.9,0.101833333,-1.541875331
C167,望天树,0.561181109,0.589765195,0.514412091,43.82286708,232.2632505,40.02222222,0.086444444,-1.251364644
C168,尾叶血桐,0.464590207,0.61611255,0.580355627,60.18621063,333.3835229,37.73888889,0.069777778,
Sn25,五桠果木姜子,0.312391118,0.396190878,0.385777936,99.31237793,187.4402431,44.07777778,0.171444444,-1.415976875
C171,西南猫尾木,0.373088897,0.441525424,0.414083612,59.26444329,260.1047328,42.86666667,0.096333333,
C172,溪桫,0.323336293,0.562316255,0.518344101,69.73476325,196.5279287,50.03333333,0.158666667,-1.102489719
C173,细毛润楠,0.416441724,0.573257343,0.534125009,17.91167263,148.1366272,47.72222222,0.147388889,-1.540826178
C176,狭叶一担柴,0.7247983,0.4364694,0.356324923,27.71922761,286.7795263,31.13333333,0.132777778,-1.234683098
C177,纤梗腺萼木,0.326341275,0.48178491,0.385951618,32.89224794,301.495544,43.88888889,0.081222222,-1.320294048
C178,线柱苣苔,0.148256601,0.292952694,0.32031776,105.5479202,246.2138437,32.36666667,0.128777778,-0.986243478
C179,香港大沙叶,0.271443645,0.619404389,0.529304035,81.56872559,250.4799334,50.125,0.121833333,-1.366876477
C180,香花木姜子,0.427816506,0.528625708,0.482640097,61.73767005,182.5055443,48.9,0.149333333,-1.190618638
C182,小花楠,0.354437383,0.508400029,0.471981101,50.77507952,175.5494215,48.68888889,0.162166667,
C183,小叶红光树,0.561928276,0.432882763,0.456266131,67.08350584,163.9110447,51.8,0.121388889,-1.584051314
C184,斜基粗叶木,0.32507676,0.469184985,0.425913433,35.24465847,176.5983539,51.04166667,0.162541667,-1.761568138
C185,斜脉粗叶木,0.334397722,0.49105355,0.43327064,56.29435666,149.8423063,53.23333333,0.178083333,
Sn26,雪下红,0.250553316,0.521434653,0.416392519,24.00810856,186.5630325,46.27777778,0.199555556,
C187,野波罗蜜,0.406496988,0.513100701,0.474331331,132.8733232,173.9239787,49.42222222,0.128666667,
C188,蚁花,0.542006672,0.599047619,0.543177893,20.70016564,189.1978072,53.33333333,0.137666667,-1.631368151
C189,异色假卫矛,0.315177626,0.499747414,0.489538906,52.10939311,156.7085046,57.77777778,0.197888889,
C191,银钩花,0.419263816,0.474407001,0.430360365,53.29720052,211.9010165,50.52222222,0.130777778,-1.430455198
C193,印度血桐,0.37390229,0.487097649,0.476563424,143.5801938,157.2376851,38.71666667,0.194583333,
C194,印度锥,0.622081041,0.787200187,0.636542048,105.0420278,189.6013133,41.01111111,0.100666667,-1.477667119
C195,鱼尾葵,0.461885469,0.561199844,0.501242658,59.98823505,140.3201656,51.15555556,0.136666667,
Sn27,鱼子兰,0.30769916,0.290206176,0.272174786,51.53168488,161.9339202,52.05555556,0.141277778,
C197,越南巴豆,0.36126248,0.52600776,0.409004276,80.05255212,168.9628063,48.35555556,0.169555556,-1.203628145
C198,越南割舌树,0.383535648,0.661021841,0.555126744,60.54934904,158.5016956,63.85555556,0.145666667,
C199,越南山矾,0.286899445,0.370705585,0.313713839,128.779647,168.5140345,48.09444444,0.161444444,-1.402547706
C200,云南沉香,0.354976359,0.349364026,0.39603771,34.75029288,232.6786798,35.84444444,0.111888889,-1.719811816
C201,云南风吹楠,0.219431961,0.380337079,0.37136588,150.7541784,193.1011462,54.06666667,0.166,
C202,云南黄杞,0.387136921,0.504057632,0.47685738,73.49822998,201.3329053,49.32222222,0.139,-1.631892728
Sn28,云南九节,0.218942966,0.367175368,0.324466074,77.20857181,205.6852531,53.31111111,0.151611111,
C204,云南蒲桃,0.487791893,0.601459854,0.523271914,65.38403893,116.8040111,47.78333333,0.147833333,
Sn29,云南棋子豆,0.515812252,0.68362376,0.577356263,59.45346691,194.4294929,52.96111111,0.118833333,
C206,云南山壳骨,0.234965257,0.516837694,0.422485283,47.76120313,186.1488102,58.47222222,0.186333333,-1.32344151
C207,云南叶轮木,0.201705535,0.39415248,0.387045359,53.48737166,367.5341966,37.74444444,0.123611111,-1.246013959
C208,云南银柴,0.27104921,0.407518733,0.37539643,44.5805397,135.7990506,52.43333333,0.239222222,-1.151590117
C210,云树,0.295022274,0.655354022,0.558653756,46.48914634,152.1319751,51.21111111,0.212666667,-1.395833122
C212,长柄油丹,0.272357118,0.240594499,0.243719689,102.0740689,180.9146634,45.73333333,0.163666667,-1.555724162
C213,长梗三宝木,0.304898856,0.532519971,0.487161021,60.33741845,190.3150888,46.61111111,0.198666667,
C214,长裂藤黄,0.453713609,0.754164953,0.583814527,6.962954415,172.7552429,67.76666667,0.114722222,-1.794301736
C215,长叶紫珠,0.377317534,0.521292475,0.485270548,80.35385005,248.6573303,33.23333333,0.091222222,
C216,长柱山丹,0.244696688,0.465668929,0.419575852,73.28611374,284.9073396,41.24444444,0.145666667,
C217,鹧鸪花,0.311009773,0.609201931,0.529597658,28.79241986,213.7765816,50.66666667,0.152666667,-1.829763135
Sn31,蜘蛛花,0.120676906,0.18325314,0.175354912,94.33954917,351.1960247,42.46666667,0.168,
C218,中华野独活,0.452551488,0.636645736,0.576007473,19.81518413,193.3933378,60.02222222,0.122888889,-1.554465177
C221,紫叶琼楠,0.248171973,0.466457382,0.462912337,68.93789101,142.78544,57.50833333,0.2225,
C222,紫珠,0.284582104,0.443708023,0.393493095,75.41661991,276.170484,43.73333333,0.135222222,