qua151,qua,gx,gy,meanelev,convex,slope,aspect,AN,AP,AK,C,water,pH,TN,TP,TK,rongzhong
1,401,65,5,715.3225,-3.144821429,22.96521752,242.0287114,204.3656361,12.25388603,248.1157442,22.43922291,12.9136071,5.911121348,2.16775527,0.451715434,10.26559179,0.973651584
2,601,105,5,719.035,-2.848571429,14.06623277,163.3139972,168.6837885,6.940072458,196.8333268,17.37884215,16.64017955,5.594775088,1.799880712,0.385783639,15.15777135,1.134790882
3,1501,285,5,750.07,2.9675,33.01395385,332.5067633,169.5582878,2.948028067,183.9621529,15.98116888,10.02816516,4.853534244,1.739445404,0.307866203,12.66513983,1.172640259
4,1701,325,5,766.9625,7.233392857,24.50136618,303.3136454,173.6735858,3.25393639,162.2364042,18.43581705,11.53600191,4.503686742,1.843035713,0.30817205,10.97629887,1.128087811
5,202,25,25,715.7275,-4.485833333,10.03901734,114.4439548,104.63,4.95,181,11.01,18.32075873,5.63,1.18,0.316,14.75,1.29
6,802,145,25,724.6525,-3.501315789,31.57471881,171.5963637,162.44,3.89,175,17.23,15.44451868,4.79,1.91,0.333,10.31,1.06
7,1102,205,25,727.575,-8.823289474,27.00785684,184.0111261,98,2.03,137,9.27,12.30389697,4.88,0.9,0.246,11.4,1.33
8,1302,245,25,734.1625,-7.092236842,13.56259228,227.5327594,145.6088673,7.763713717,307.3475802,15.30145304,12.44023022,5.618309323,1.520850418,0.323442953,10.87036045,1.243917211
9,1902,365,25,775.285,6.186833333,38.67004411,305.0712593,168.8448563,2.81230172,157.5879829,16.82784843,11.43374696,4.635368635,1.697432194,0.261428655,8.774750219,1.179838146
10,303,45,45,719.3275,-1.926041667,31.72994663,275.5975292,207.9125436,5.246115119,208.4373552,22.78911948,11.79881211,5.114075371,2.161676972,0.413933548,11.73881313,0.996807204
11,503,85,45,719.46,-1.815416667,26.52987554,115.7584881,190.7907886,9.081765826,261.2829277,19.92973543,12.85883263,5.846037894,1.870108402,0.410617257,9.06741657,1.071600817
12,703,125,45,729.155,3.208333333,24.26116154,243.6657463,183.4920025,2.970967038,179.40071,17.17028613,14.34186626,4.868957542,1.812704084,0.31626109,12.16462818,1.119082012
13,1403,265,45,740.715,-7.051145833,29.94658924,162.5269874,162.4547421,5.125552291,155.6422723,17.18339868,11.79830196,4.887532123,1.779748552,0.296035239,7.950935745,1.118115618
14,1603,305,45,747.9325,-6.813854167,26.38507803,334.4373299,179.1082224,3.798853616,205.526078,18.36826574,8.430081198,5.301104092,1.855907505,0.334566807,12.48978527,1.159747755
15,1803,345,45,758.59,-7.104895833,29.36837235,308.3323594,174.8941234,3.990507769,216.806368,16.95353657,12.00806821,5.375666651,1.763524878,0.330217963,11.56130866,1.168002191
16,104,5,65,728.8875,4.74125,35.14467003,134.2503245,177.3090106,2.706026653,219.2007079,17.95346514,15.08816579,5.041588533,1.813878662,0.364009056,11.29310392,1.145149174
17,404,65,65,724.005,1.9703125,21.30111633,307.9033058,181.3092591,6.53068127,162.8926259,18.00279699,10.67979962,5.378749549,1.844646697,0.365001353,9.315931722,1.103625065
18,604,105,65,721.9275,-3.76625,26.03798934,261.0151718,179.1074863,3.264033259,194.8275751,18.08921624,14.83307444,5.227889315,1.820971948,0.344879918,9.278843262,1.143237816
19,904,165,65,742.25,7.384895833,11.66804177,213.7410878,175.9681677,1.944893737,153.3566947,18.04819317,13.51907926,4.336418651,1.819429025,0.295444614,14.83311523,1.133403133
20,1004,185,65,744.21,5.5315625,19.23672636,198.6198585,171.1856743,1.594097525,126.771385,17.92003688,11.86999308,4.436659391,1.751754065,0.273134364,12.02165873,1.139374513
21,1204,225,65,750.7475,5.697708333,32.31050615,198.3197526,194.378285,1.994237949,208.6939419,20.74460537,11.6227707,4.435414475,1.850974351,0.295417892,11.17474444,1.005407103
22,1504,285,65,751.125,-3.039791667,33.90434716,191.2596877,191.8474334,2.610211485,196.6816029,21.14390598,12.36726951,5.321929178,2.030803933,0.324161457,9.910466655,1.068564226
23,1704,325,65,751.2175,-9.25125,31.47150478,176.0977019,163.6381711,3.430576571,185.5349288,16.01108006,13.02335429,5.139314652,1.692894592,0.335105261,15.11944579,1.19054552
24,2004,385,65,769.9625,1.976785714,38.07575792,6.783422413,188.3088713,4.268539845,171.7506134,18.7055445,10.99831908,5.086570505,1.893451635,0.345100208,9.717775471,1.12079553
25,305,45,85,719.8525,-7.012395833,19.1455097,129.3214586,189.7938885,9.409501764,191.2629413,18.98918249,14.35426182,5.542174225,1.927173908,0.361418154,9.863089829,1.136915736
26,505,85,85,724.1975,-0.960625,19.26362725,126.5894374,152.5,3.07,149,14.94,12.81772278,5.6,1.57,0.313,13.69,1.24
27,705,125,85,726.6125,-3.736041667,24.92725465,329.2289776,192.067372,5.053133128,173.1140669,17.78106478,13.52109265,5.048126967,1.867031251,0.327609545,9.213779654,1.080027673
28,1405,265,85,758.435,2.579895833,23.40341521,199.29317,222.62,4.09,407,24.82,11.15464509,4.8,2.39,0.299,7.27,0.94
29,1605,305,85,764.2975,3.560416667,24.06835859,179.4543424,182.49002,2.37684844,111.3265685,18.78936535,13.07319287,4.490408165,1.842875239,0.31261782,13.28896559,1.014864664
30,1805,345,85,759.1575,-7.5071875,23.83917355,181.063274,142.4901374,2.457507994,157.9797344,14.40566342,11.01301089,5.412164535,1.485028894,0.286575816,11.34183987,1.279480016
31,106,5,105,744.12,13.52625,24.24394966,126.2113545,187.6898558,1.604894761,130.0523822,18.42382516,14.0641817,4.486463535,1.864719147,0.309095534,11.45359024,1.110809491
32,406,65,105,724.68,-1.902083333,26.41515982,241.8086916,174.0081582,7.782689418,188.8794383,17.19630175,10.64114616,5.10413403,1.811338519,0.351210175,12.02208101,1.132171906
33,606,105,105,728.1925,-1.091041667,27.83403127,160.0887711,195.8603757,5.441547089,177.9148998,18.92752764,12.3717737,4.988801176,1.905543666,0.336432606,9.217020852,1.065812299
34,906,165,105,733.21,-4.475416667,22.44154812,328.4108736,154.2633949,2.596425096,179.8554028,14.7059499,15.03295266,5.350983284,1.527266417,0.302073133,13.00087075,1.261569799
35,1106,205,105,747.6725,2.870833333,26.24694345,322.635433,179.1381599,2.306023164,147.2063236,17.97428963,13.25858357,4.373663576,1.807504683,0.301841064,11.88176478,1.111658231
36,1206,225,105,753.725,4.680833333,23.09994693,313.6121532,195.4127802,2.102703964,128.1080666,20.09594705,11.188556,4.432869519,1.828076101,0.303266903,11.31090224,1.107239289
37,1506,285,105,769.93,7.494583333,22.79008115,215.2601994,155.8253217,2.087713572,127.6800359,16.54036092,13.76718622,4.325692126,1.668745168,0.227815797,14.77428219,1.105287405
38,1706,325,105,771.195,2.627083333,24.70296398,167.580301,173.4849589,2.17037874,134.2407859,18.07061225,9.456626076,4.385600764,1.77825011,0.268738309,9.768261813,1.091136649
39,2006,385,105,772.565,-0.145714286,33.14702241,220.438523,166.7088538,3.247148028,222.4618909,16.44701294,11.31302244,5.250105135,1.778760499,0.367559562,17.5628262,1.128782735
40,307,45,125,723.6875,-8.276041667,17.86474145,86.88975129,190.5157897,4.749796612,180.0241681,16.85900869,13.02752441,5.371175616,1.786183259,0.430136958,9.819460065,1.106541197
41,507,85,125,732.125,3.641458333,20.98842771,283.7786025,188.5443892,5.490981414,157.556008,17.80326106,10.07194922,4.749283521,1.820878253,0.340417766,11.32370102,1.07120951
42,707,125,125,734.44,0.918020833,21.46440422,164.6553767,180.2101923,4.08680441,210.4094946,17.89061573,10.9492919,4.806098871,1.897594745,0.314729627,8.121428293,1.094996192
43,1407,265,125,763.94,4.912916667,30.24987781,305.58368,158.1858452,2.461945668,154.0070894,17.32891403,13.13502447,4.557573957,1.638184395,0.239507455,11.88497353,1.118616128
44,1607,305,125,775.815,6.530520833,21.38465854,268.983022,168.1679251,2.076653928,176.7174235,18.27179474,12.99346135,4.446375455,1.766790509,0.224978423,14.81292886,1.082262961
45,1807,345,125,778.3775,2.079270833,24.26491965,172.9189865,189.674987,2.07624391,175.2722629,19.83640496,6.565424409,4.276236965,1.856350608,0.278178526,12.12056301,1.047994652
46,208,25,145,736.6525,1.904342105,33.04107024,103.9664819,154.37,2.16,158,14.74,13.05776212,4.76,1.52,0.326,9.55,1.21
47,808,145,145,739.7775,1.213020833,24.99360244,162.4018526,151.68,2.13,138,14.27,11.88635107,4.44,1.21,0.306,11.23,1.27
48,1008,185,145,735.455,-7.363541667,16.3805964,160.8169442,209.1481083,5.528758672,219.282626,21.72609669,10.54787721,5.186145846,2.038658191,0.455505286,9.770556586,1.077289876
49,1308,245,145,745.405,-7.248854167,32.11624466,319.8254262,170.580874,3.241434096,150.537493,16.71825945,13.01931856,4.708797615,1.69404245,0.32801084,9.425789222,1.176871642
50,1908,365,145,788.5125,8.03,25.61264127,188.3667557,202.6525758,2.345185371,214.4720575,21.40371311,8.928484643,4.376204476,2.012559905,0.284768369,14.8574956,1.004324056
51,409,65,165,725.835,-6.154583333,26.6967677,118.7798063,171.1908821,7.120863609,264.7683864,17.05043572,13.34623398,5.61186851,1.808751313,0.375801697,12.62670284,1.082573036
52,609,105,165,734.8625,-0.290416667,25.77324873,267.1747082,148.555454,3.599388905,185.9082312,15.68223547,12.65904264,4.710302327,1.710003678,0.295807651,9.661845508,1.109309349
53,1509,285,165,759.9975,-2.0071875,36.12165646,289.142728,169.5506058,1.741022232,167.5599285,16.65803761,12.3519015,4.730312432,1.717012415,0.262114379,11.56827304,1.142830047
54,1709,325,165,783.025,10.27020833,25.89038503,306.361823,172.7028802,1.609240409,126.3020411,18.65296634,10.25299555,4.418277315,1.831639354,0.257041769,18.0070356,1.122440239
55,110,5,185,750.8875,11.00375,24.87342461,74.69605893,221.2601487,2.179577758,236.527096,22.16497316,12.91375099,4.693428217,2.239908715,0.412401311,15.34044448,1.017828223
56,410,65,185,727.2075,-5.563020833,26.36439555,69.57096939,186.8627837,10.18392245,229.1964742,19.1989686,13.23624261,5.648246565,1.931278744,0.416000972,13.39045851,1.051828572
57,610,105,185,736.075,-0.114375,23.98262106,257.3384664,163.7646315,3.807300794,163.9525177,17.17148306,13.37510662,4.934178591,1.747310407,0.314595515,10.48682133,1.151553361
58,910,165,185,753.06,4.117395833,18.80880446,174.1321284,189.0938551,3.244927783,235.6821917,20.05126655,15.52046827,4.594654314,1.981548577,0.346018806,12.98730051,1.055859844
59,1110,205,185,753.2675,-0.048125,30.67479947,207.5705165,165.588334,2.568866133,207.1047548,16.6841128,10.15359556,4.846845986,1.594117932,0.323220786,12.06147578,1.182120661
60,1210,225,185,754.9725,1.031770833,27.99626555,168.7323913,181.9212711,4.299397454,182.192461,18.191857,11.42739841,4.926726526,1.788003541,0.34076002,10.97769985,1.149207814
61,1510,285,185,753.495,-7.392916667,34.03865938,307.7664052,177.5510302,4.316598078,196.947826,16.96758905,12.13673005,5.169993168,1.748681521,0.305122966,11.46867304,1.150296163
62,1710,325,185,773.805,4.2115625,34.0194133,342.0131958,167.7947079,3.335973074,184.9507163,17.80602935,10.57459872,4.577640273,1.739595118,0.306967666,15.07158302,1.112143561
63,2010,385,185,786.7375,8.384464286,25.94695956,326.2032365,188.4000534,1.384384322,145.3226808,19.51837148,11.73638332,4.381310255,1.859142677,0.294586108,13.12897553,1.023240518
64,211,25,205,740.5025,1.801710526,20.51605961,79.5254452,240.74,5.14,201,26.28,15.15739612,5.42,2.42,0.505,12.04,1.07
65,811,145,205,750.66,2.715416667,22.50994336,291.9584555,148.98,2.3,183,14.28,14.96572843,4.78,1.57,0.291,14.8,1.27
66,1311,245,205,761.6975,0.548541667,38.41098167,145.924125,185.6497896,6.763061066,165.2361108,18.92566249,13.06670795,4.818484906,1.894590754,0.31566099,8.44984278,1.078113648
67,1911,365,205,770.26,-3.080131579,32.11162069,313.7728823,191.7413292,3.626472645,165.5619803,17.94653124,12.22231447,5.078034735,1.859664569,0.368139432,9.694910422,1.112253716
68,312,45,225,733.5725,-5.4496875,17.89577877,108.284698,192.226223,9.449094775,244.45833,19.70498356,15.50152673,5.889053675,1.958589797,0.532664224,16.23363027,1.195906219
69,712,125,225,740.325,-3.56875,18.27618035,280.3204075,154.8953494,3.382539072,180.264825,16.82153769,11.82593906,5.387437836,1.789912016,0.378575322,11.68803664,1.207448517
70,1012,185,225,766.5275,3.8190625,24.61817589,252.982046,170.1926726,1.976146089,140.9831909,17.69033035,10.46254626,4.409467327,1.68845293,0.261251848,10.62503197,1.174946316
71,1412,265,225,764.04,-4.148645833,34.40570661,143.046091,167.0044135,7.522755403,176.9362604,16.50216557,8.829192426,4.906021001,1.673709995,0.303854527,9.37931061,1.183462024
72,1812,345,225,760.04,-10.696875,9.838300495,249.0406195,180.9683847,8.916031119,177.5030074,17.29569488,8.469793417,5.444471075,1.769827695,0.36907948,5.641443536,1.182628515
73,113,5,245,753.14,6.316785714,32.26840018,116.647284,189.2285674,2.923706362,209.1601921,18.11936769,20.92991473,5.560125723,1.917636025,0.458067868,20.58857932,1.164057162
74,513,85,245,733.4975,-4.029583333,24.58893901,266.5232492,179.7018204,5.58430894,181.8051556,18.40848415,11.63513761,5.349433442,1.852740042,0.391075476,11.48810512,1.15249731
75,913,165,245,757.41,-1.755208333,27.45260973,257.9516488,160.7318094,2.790945685,179.0225045,17.64517684,10.12990077,4.722011351,1.763589884,0.292664662,11.36211607,1.216796946
76,1213,225,245,784.0625,8.4890625,17.07308577,212.010359,175.0767563,1.917423823,177.8713952,18.57215438,7.317781361,4.230537186,1.651004665,0.224362318,8.997787448,1.070292566
77,1613,305,245,768.81,-3.737604167,31.85742824,170.5452626,180.1953262,5.117119695,155.3748162,16.87391955,9.689619376,4.811576388,1.780434324,0.320419848,7.979371514,1.160106426
78,2013,385,245,768.8925,-6.598214286,32.40408982,194.7642389,189.0110523,11.3208275,200.4041723,16.47783747,8.26214671,5.282205408,1.735986998,0.343828841,10.35177609,1.218149302
79,314,45,265,744.2025,-1.630208333,15.7634253,94.02995241,177.6049203,3.899755599,209.4254555,16.64023866,18.35898278,5.30219363,1.77965891,0.410479586,13.29928315,1.158026145
80,716,125,265,745.8575,-0.7978125,26.1905481,289.302441,156.5924173,4.003961954,157.9607767,15.44578938,10.76120161,5.145309119,1.684759316,0.356710763,10.23273446,1.23867827
81,1114,205,265,779.515,3.37125,28.0565342,266.0178189,155.89,1.76,143,22.31,9.631813192,4.25,1.59,0.252,9.81,1.04
82,1414,265,265,787.5825,3.135833333,30.12457513,163.7526394,158.7,1.33,99,15.65,10.82563044,4.32,1.62,0.214,8.37,1.19
83,1814,345,265,778.98,-2.188125,34.21451758,169.2354104,160.9293418,2.444399065,161.3108811,15.7313199,10.31842903,4.844697477,1.721163546,0.311735203,7.036343801,1.195468428
84,215,25,285,758.18,3.873815789,33.84188689,143.0787314,189.5389462,2.737108293,148.4825381,17.87567199,15.09484942,4.547743976,1.905447653,0.386940947,15.99876939,1.154008645
85,815,145,285,754.47,1.5925,23.24084812,251.8181973,166.9126754,3.28355065,164.3042156,16.88707284,10.91701651,4.572647578,1.802603448,0.324121087,12.535677,1.132147852
86,1315,245,285,796.8025,7.133020833,17.16852105,216.0073048,176.9463124,1.30776395,134.0772209,18.65486758,12.32564453,4.206745452,1.7382196,0.224034359,11.07924626,1.08517117
87,1815,365,285,791.6975,0.191770833,31.65457045,168.3255375,172.400742,1.676180272,115.5976922,17.16034041,10.39653353,4.10088506,1.764709565,0.273337214,9.077471089,1.129154119
88,116,5,305,773.5775,9.93,24.04650309,102.1714582,187.6773145,2.117314989,97.02099817,18.52333947,11.33380782,4.424436975,1.917608537,0.338026397,13.09609429,1.097275257
89,416,65,305,747.1925,-2.373333333,36.69331119,116.1606576,184.2432916,6.491651782,223.7591452,17.84770405,13.03960505,5.208539678,1.891466034,0.441337284,15.73982229,1.117522514
90,616,105,305,737.68,-6.7665625,20.91766764,281.1699973,185.0442617,11.04874172,206.7761148,19.2029139,11.15711671,5.784087962,1.960938708,0.474533796,11.86162862,1.142691523
91,916,165,305,762.51,2.285104167,20.9303338,287.1082366,172.0575496,2.436898851,156.096962,17.57279111,11.36207718,4.418394832,1.809640428,0.310341021,12.13253511,1.151224639
92,1016,185,305,770.19,0.948125,22.50715125,283.4822728,169.1850858,2.284308844,147.3447019,17.22504096,10.46670482,4.32677981,1.772005697,0.285143642,10.50385337,1.127004361
93,1216,225,305,790.51,3.758541667,30.67291411,263.707817,174.3306737,1.956010554,157.8922188,18.81624441,8.830218014,4.393447671,1.77991177,0.270425888,11.57087628,1.113105345
94,1516,285,305,804.1475,3.570520833,25.3222925,168.9757703,165.6575602,2.08078011,145.4965242,18.41022461,10.12817392,4.287782682,1.648279024,0.193639536,7.211855272,1.087930055
95,1716,325,305,802.525,0.4871875,28.64331362,192.0322834,191.1211865,2.370613685,158.7137101,20.07681076,11.96219113,4.315808635,1.927140235,0.236011386,7.45365274,1.034935044
96,2016,385,305,806.8125,3.825,24.26411214,198.213653,194.7576572,3.569247421,154.4490671,18.92029549,11.13633864,4.141100955,1.897610732,0.260393934,10.91309531,1.073227762
97,417,65,325,753.6575,0.519375,35.3417174,116.7553417,198.0159627,3.569805538,217.1397936,18.98821756,16.0513658,4.985618485,2.025529748,0.458889506,18.01606422,1.084601262
98,617,105,325,737.985,-8.228854167,10.73882692,226.6602824,204.8010726,8.864912388,212.2779809,20.45306689,9.963073337,6.116185828,2.104868642,0.495889744,12.59957084,1.128869817
99,1517,285,325,811.9875,5.502291667,18.408477,186.7124279,170.55782,2.321713163,161.3293688,18.87367186,10.75543577,4.346521864,1.721148123,0.2021261,7.524863014,1.036619139
100,1717,325,325,812.6925,1.055833333,26.29201149,190.8997887,196.16,2.22,195,23.69,10.74663468,4.43,2.05,0.241,6.58,0.99
101,218,25,345,774.5975,7.824605263,17.1451054,76.93686583,192.1004555,3.555330745,180.4163821,20.359845,16.15126534,4.37821314,1.992067638,0.375444414,15.19727376,1.041625008
102,818,145,345,745.195,-6.646979167,22.3116935,284.7762566,182.2510095,6.642286391,214.3769858,18.38556561,9.878717218,5.681080306,1.872688323,0.419603957,10.85610419,1.116372593
103,1118,205,345,774.7425,-0.745416667,34.60080682,293.4877953,192.3194235,3.317161352,157.6303633,20.12101826,10.95459455,4.560642682,1.87766816,0.329212664,9.185846627,1.10661173
104,1318,245,345,798.58,3.011041667,28.17670349,286.7403018,177.1998939,1.648834198,154.8071531,18.89460502,9.452448817,4.45877314,1.785680405,0.221454912,9.081059512,1.090791419
105,1918,365,345,824.6525,0.953289474,29.73100708,167.9420463,178.164437,2.990650136,163.9045363,18.64113409,9.339303391,4.209773839,1.756693759,0.224341584,6.52859608,1.08738974
106,319,45,365,767.37,3.342708333,21.35548199,62.48393279,198.1107807,2.874403032,169.6979226,20.20889528,17.31529242,4.587166735,2.035778764,0.411334611,14.60233168,1.052872564
107,519,85,365,749.075,-4.87125,29.46311201,74.9736256,196.2331155,9.374571745,385.801026,18.19025064,14.67318659,5.517420494,1.961296447,0.530399441,19.88303275,1.168606389
108,719,125,365,748.3825,-1.743541667,26.77105855,180.9980833,180.5676103,6.636642927,192.2413054,16.88268727,10.53752922,5.536600349,1.87450205,0.454663082,11.98914097,1.154166367
109,1419,265,365,805.68,1.30125,29.54374752,280.7534873,178.5067078,2.876424726,183.9977653,19.10888257,8.760751699,4.526761001,1.831343837,0.199777748,7.339512156,1.049659345
110,1619,305,365,824.0675,3.526875,24.01318937,250.1350884,173.5623709,2.369003323,146.2227005,19.43259561,7.547268437,4.372430904,1.817261949,0.231969327,8.894194183,1.053099298
111,1819,345,365,835.695,5.314479167,32.62369043,203.3930125,163.2529369,2.685662705,136.3102307,19.18811257,8.560081744,4.318139827,1.64949089,0.213068158,6.734854993,0.999536939
112,120,5,385,778.7275,6.472142857,18.77447126,81.74681345,188.6971547,2.19251706,131.3638882,18.32826984,10.56093936,4.862658889,1.950013466,0.373344368,13.39529508,1.125960049
113,420,65,385,753.945,-6.3240625,29.3806207,69.57562771,166.1616458,7.607250466,251.1143709,16.70074351,18.32767516,5.576216665,1.734698071,0.430859534,14.44906707,1.180024868
114,620,105,385,755.1575,0.97125,33.60102893,205.7632911,188.1045246,7.914593134,236.1824564,17.68042389,11.76345563,4.94901717,1.944538885,0.455315351,15.09001783,1.129457829
115,920,165,385,748.675,-9.4621875,21.01562562,259.0661832,231.9992448,9.94061863,194.929713,23.84873204,8.631229122,5.648707886,2.274050336,0.488247937,10.93361773,1.073075041
116,1020,185,385,757.24,-5.8021875,34.80729066,280.8152466,186.6413131,4.351304203,176.6191541,18.25277902,6.600715392,5.000632435,1.858872334,0.385978008,10.3585107,1.137853526
117,1220,225,385,783.09,2.727604167,30.07019655,270.3499699,175.0631718,2.753050858,131.3630379,17.35847763,9.727589175,4.444512637,1.642685044,0.290824435,6.275118819,1.191258764
118,1520,285,385,815.2875,2.5128125,28.94930054,270.5997974,190.6835182,2.783710504,154.6534958,19.04324459,5.218050458,4.328327795,1.853467987,0.222780223,7.744957176,1.112924677
119,1720,325,385,836.99,6.376666667,28.53130606,244.5343574,154.78,1.15,119,21.01,8.39185022,4.34,1.71,0.227,15.67,1
120,2020,385,385,843.9625,1.513035714,35.65260376,151.7289984,178.7,2.01,164,16.79,8.262002645,4.25,1.76,0.221,10.64,1.02
121,321,45,405,762.175,-3.539479167,26.44146518,94.33231398,165.5056529,4.380523335,212.8816181,15.70982397,11.00660255,5.562008895,1.7197707,0.395264359,11.28823156,1.179778894
122,521,85,405,753.3275,-6.560208333,31.61790682,268.8584296,206.8502029,15.08814179,323.3162122,20.76215797,12.94612121,5.810773268,2.066303026,0.465406325,13.07904141,1.079192169
123,721,125,405,763.6925,5.145416667,19.41934117,135.9212598,194.798901,3.948925562,234.7400132,19.04434192,12.45085602,4.596978489,2.094143723,0.392617072,12.2947248,1.056983496
124,1421,265,405,801.0675,2.25375,33.08121468,285.2898387,166.5038423,2.985255223,139.6776859,16.27972525,8.127799876,4.552676983,1.743940855,0.226480815,9.611976211,1.217518157
125,1621,305,405,825.86,4.2684375,32.63035727,284.1122613,151.3897075,1.615567197,128.4413267,16.29146809,6.754442821,4.404324647,1.606597081,0.202754316,10.24862927,1.162895972
126,1821,345,405,849.095,9.433541667,24.97230986,272.2930864,164.6225573,2.076988826,131.2884116,18.60634764,6.779002001,4.299358508,1.715275255,0.208463148,8.722339111,1.055981735
127,122,5,425,782.555,11.22428571,20.62903232,105.3285491,199.7553425,4.98367881,137.8652953,20.28351673,10.82495756,4.689623218,2.004368651,0.340079079,9.606217542,1.036708625
128,422,65,425,755.325,-8.515416667,34.04764324,115.5399876,218.4573078,21.77027852,226.8275987,28.43669906,11.13767966,6.513701145,2.319516766,0.496128071,12.06649217,1.06427948
129,622,105,425,766.5175,2.518229167,24.0464944,242.7863451,193.7225407,10.10340537,262.9447429,19.4426845,10.33828465,4.941276221,1.955303148,0.396220662,11.6997134,1.074016869
130,922,165,425,760.9825,-4.442604167,32.14339615,151.6096907,201.4100893,20.24224831,229.7762505,19.75365507,7.670388139,4.94215149,1.992643082,0.482662616,10.91158934,1.139053199
131,1122,205,425,760.405,-8.2825,38.34690212,298.4791078,165.2207711,19.67840608,245.9403008,17.3819586,7.488801029,5.434113987,1.637109465,0.466616165,9.674992075,1.188722291
132,1222,225,425,771.38,-3.2728125,36.73080146,326.7572139,185.2902858,9.091763853,200.999099,19.55979229,7.034144911,5.397411377,1.746289781,0.409867523,8.184252848,1.170225398
133,1522,285,425,807.65,1.0475,35.62696591,305.1426689,168.2980406,1.888963821,172.4738018,16.84523829,7.761098164,4.599381378,1.741027185,0.236299039,9.598849966,1.22371616
134,1722,325,425,836.0275,6.179479167,26.01740863,285.5257967,162.2260419,1.847639564,131.3796797,17.23618683,8.03720432,4.389322475,1.696397007,0.211842253,10.5675386,1.125039812
135,2022,385,425,862.915,14.67125,20.47054562,227.457219,173.1557403,2.83023568,110.619766,18.98808369,6.971407407,4.114100986,1.715303214,0.19249188,7.080711432,1.068198532
136,323,45,445,764.585,-3.6615625,25.80936,42.94711652,162.904231,7.708530096,169.7214921,15.72824482,8.993971804,5.945282842,1.729759265,0.430894477,9.825639606,1.191021803
137,523,85,445,761.7675,-6.730520833,32.47647525,237.1239713,178.3,11.86,154,17.72,12.31471736,5.83,1.79,0.407,6.01,1.25
138,723,125,445,776.9275,4.3259375,26.28716546,193.4877367,182.0043163,3.946692,186.539403,17.61173386,8.619452084,4.33051155,1.857692421,0.324986141,9.439318305,1.108893644
139,1423,265,445,786.855,-3.473333333,36.08145326,292.8298167,136.64,2.9,426,16.27,5.275123907,6.36,1.68,0.293,6.51,1.26
140,1623,305,445,814.8675,1.213854167,47.44898413,303.235493,176.4642255,2.506362296,222.3722919,17.709742,8.268020547,4.705184927,1.843465346,0.252455877,10.13046199,1.2028726
141,1823,345,445,839.875,3.901145833,33.41750504,294.4835461,169.0641895,1.742583451,96.44332635,17.70845675,8.686970973,4.277747262,1.749347286,0.213360329,8.428223606,1.135227522
142,224,25,465,768.66,-1.238833333,28.53517893,76.97377611,224.8544811,11.61785371,145.3827576,23.65165031,7.254976406,5.460946593,2.175316441,0.471151967,8.216805569,1.106211638
143,824,145,465,786.9975,10.70802632,28.4718282,153.6606619,188.5233423,4.306297211,165.3139816,19.61200652,9.764909782,4.257323565,1.980109265,0.32120343,9.402742349,1.063509064
144,1024,185,465,772.07,0.303684211,37.96388591,134.193803,164.043326,9.661250806,216.1666935,15.81335094,14.74778767,5.107626368,1.625255761,0.445678155,9.990282483,1.236313377
145,1324,245,465,770.85,-7.543289474,34.21159353,270.3390243,208.7014633,7.709141772,167.3073382,21.17138008,3.941948431,5.961602987,1.996683998,0.433272595,5.909016845,1.20408064
146,1924,365,465,841.42,1.9805,28.38975079,310.2531853,189.4119241,2.713483363,145.024263,18.51055484,8.265828377,4.326656845,1.86665717,0.24780521,13.36162251,1.159678382
147,425,65,485,771.8825,1.976964286,22.45248662,195.9023631,178.3342164,15.51956541,191.7738058,18.43201961,8.224420963,6.156237883,1.915795139,0.464816176,11.78868516,1.223040271
148,625,105,485,788.25,11.50339286,32.24997613,218.4683503,168.7938078,3.243018836,132.1590516,17.24193868,7.07237654,4.384587561,1.7998688,0.317124734,10.81063561,1.156805564
149,1525,285,485,788.3875,-7.383392857,37.28737508,310.4846111,164.0048278,13.1762838,173.2609267,16.51837719,4.862386766,5.508806847,1.817426416,0.406765359,8.420715146,1.192042024
150,1725,325,485,811.9575,-7.413928571,39.11691652,323.3455388,198.4205383,5.988240672,216.1365702,19.98670295,5.777684558,4.572527956,2.073273082,0.347148827,11.34958178,1.096676053
