qua,habit3,seedtrap,habit5
401,valley,1,valley
601,valley,2,valley
1501,slope,3,lowslope
1701,ridge,4,highplateu
202,valley,5,valley
802,valley,6,lowslope
1102,valley,7,valley
1302,valley,8,valley
1902,slope,9,highslope
303,valley,10,lowslope
503,valley,11,valley
703,ridge,12,valley
1403,valley,13,lowslope
1603,valley,14,valley
1803,valley,15,lowslope
104,slope,16,lowslope
404,ridge,17,valley
604,valley,18,valley
904,ridge,19,valley
1004,ridge,20,valley
1204,slope,21,lowslope
1504,valley,22,lowslope
1704,valley,23,lowslope
2004,slope,24,highslope
305,valley,25,valley
505,valley,26,valley
705,valley,27,valley
1405,ridge,28,valley
1605,ridge,29,valley
1805,valley,30,valley
106,ridge,31,valley
406,valley,32,valley
606,valley,33,lowslope
906,valley,34,valley
1106,ridge,35,valley
1206,ridge,36,valley
1506,ridge,37,highplateu
1706,ridge,38,highplateu
2006,valley,39,highgully
307,valley,40,valley
507,ridge,41,valley
707,ridge,42,valley
1407,slope,43,lowslope
1607,ridge,44,highplateu
1807,ridge,45,highplateu
208,slope,46,lowslope
808,ridge,47,valley
1008,valley,48,valley
1308,valley,49,lowslope
1908,ridge,50,highplateu
409,valley,51,valley
609,valley,52,valley
1509,valley,53,lowslope
1709,ridge,54,highplateu
110,ridge,55,valley
410,valley,56,valley
610,valley,57,valley
910,ridge,58,valley
1110,valley,59,lowslope
1210,slope,60,lowslope
1510,valley,61,lowslope
1710,slope,62,highslope
2010,ridge,63,highplateu
211,ridge,64,valley
811,ridge,65,valley
1311,slope,66,lowslope
1911,valley,67,highgully
312,valley,68,valley
712,valley,69,valley
1012,ridge,70,highplateu
1412,valley,71,lowslope
1812,valley,72,valley
113,slope,73,lowslope
513,valley,74,valley
913,valley,75,lowslope
1213,ridge,76,highplateu
1613,valley,77,highgully
2013,valley,78,highgully
314,valley,79,valley
716,valley,80,valley
1114,slope,81,highslope
1414,slope,82,highslope
1814,valley,83,highgully
215,slope,84,lowslope
815,ridge,85,valley
1315,ridge,86,highplateu
1815,slope,87,highslope
116,ridge,88,highplateu
416,valley,89,lowslope
616,valley,90,valley
916,ridge,91,valley
1016,ridge,92,highplateu
1216,slope,93,highslope
1516,ridge,94,highplateu
1716,slope,95,highslope
2016,ridge,96,highplateu
417,slope,97,lowslope
617,valley,98,valley
1517,ridge,99,highplateu
1717,ridge,100,highplateu
218,ridge,101,highplateu
818,valley,102,valley
1118,valley,103,highgully
1318,slope,104,highslope
1918,slope,105,highslope
319,ridge,106,highplateu
519,valley,107,lowslope
719,valley,108,valley
1419,slope,109,highslope
1619,ridge,110,highplateu
1819,slope,111,highslope
120,ridge,112,highplateu
420,valley,113,lowslope
620,slope,114,lowslope
920,valley,115,valley
1020,valley,116,lowslope
1220,slope,117,highslope
1520,slope,118,highslope
1720,slope,119,highslope
2020,slope,120,highslope
321,valley,121,valley
521,valley,122,lowslope
721,ridge,123,valley
1421,slope,124,highslope
1621,slope,125,highslope
1821,ridge,126,highplateu
122,ridge,127,highplateu
422,valley,128,lowslope
622,ridge,129,highplateu
922,valley,130,lowslope
1122,valley,131,lowslope
1222,valley,132,highgully
1522,slope,133,highslope
1722,ridge,134,highplateu
2022,ridge,135,highplateu
323,valley,136,valley
523,valley,137,lowslope
723,ridge,138,highplateu
1423,slope,139,highgully
1623,slope,140,highslope
1823,slope,141,highslope
224,valley,142,highgully
824,slope,143,highslope
1024,slope,144,highslope
1324,valley,145,highgully
1924,slope,146,highslope
425,ridge,147,highplateu
625,slope,148,highslope
1525,slope,149,highgully
1725,slope,150,highgully