LDMC,StemD,SDMC,LA,SLA,YLS,LT,TLP,C13,Species,sp,abundance
0.553033998,0.668577198,0.586851476,14.5934954,180.0213139,54.12222222,0.105722222,-2.565849443,-36.241462,C5,C005,68
0.320583367,0.442048355,0.447303988,54.39351061,241.3526375,46.11111111,0.150333333,-1.953720657,-39.488462,C6,C006,271
0.285765318,0.524541057,0.468158414,71.59527715,188.4447794,48.64444444,0.126833333,-2.460724232,NA,C8,C008,32
0.27412361,0.190304269,0.179492775,20.90374162,218.1445922,47.57777778,0.140833333,-1.640076127,NA,C9,C009,4
0.15268583,0.404675389,0.366096982,68.53266949,413.481531,32.68888889,0.115444444,-2.202842227,-35.377462,C12,C012,69
0.229839911,0.282662802,0.267944597,204.8456429,191.4108509,41.80555556,0.194833333,-2.04924611,NA,C15,C015,42
0.296884219,0.481709402,0.445635564,26.63392173,177.859187,59.85,0.408333333,-2.480238493,-34.811462,C16,C016,304
0.251338901,0.316006594,0.312104693,56.53288566,236.1891056,47.6,0.173111111,-2.288872839,-36.455462,C18,C018,405
0.213742443,0.284299242,0.261702247,45.14249018,315.4924894,36.33333333,0.145333333,-2.096458032,-35.822462,C22,C022,97
0.21368297,0.359503215,0.362530992,179.0060569,148.8972185,48.46666667,0.214833333,-2.325173561,NA,C23,C023,19
0.382478689,0.761875806,0.59381492,20.57955537,189.4974516,57.04444444,0.116666667,-2.17871169,NA,C26,C026,20
0.470205115,0.848529412,0.618435155,59.53390884,180.4870285,44,0.142,-4.019556952,-36.073462,C27,C027,206
0.421475214,0.791711715,0.667078314,8.157625905,116.6023658,62.88333333,0.181277778,-2.607186103,-34.141462,C29,C029,139
0.231563647,0.464048308,0.407685189,84.45732201,197.7292834,53.11111111,0.155111111,-1.829133643,-37.278462,C30,C030,809
0.291600867,0.471416882,0.425004728,83.76970037,149.2160328,56.55555556,0.203388889,-2.057849172,NA,C32,C032,7
0.323899903,0.506989418,0.441026113,40.81170654,251.816081,33.42222222,0.076666667,-2.119329584,-34.623462,C33,C033,159
0.440741524,0.717694126,0.606876248,21.48072179,219.7581511,44.45555556,0.109222222,-3.316099327,-35.309462,C37,C037,1394
0.508582599,0.827002949,0.616817688,28.74454604,138.3685155,43.53333333,0.140444444,-3.204993939,-34.357462,C39,C039,10526
0.244034106,0.266832466,0.273254376,45.41041508,224.3978884,37.71111111,0.1765,-2.442049294,NA,C41,C041,46
0.416881248,0.616144253,0.561805162,128.2926369,189.5861492,33.73333333,0.113666667,-2.900319675,-31.655462,C42,C042,1302
0.295936637,0.393550035,0.346267548,183.134012,181.3407041,51.03333333,0.240166667,-1.964107279,NA,C44,C044,3
0.544548871,0.626812947,0.530381457,53.30294009,140.6090513,52.82222222,0.120222222,-2.531227367,-36.957462,C45,C045,445
0.781144926,0.685278491,0.581733826,14.13137238,318.5348574,40.28888889,0.059333333,-2.968934334,-35.598462,C50,C050,655
0.226582258,0.376548255,0.411053383,126.3043073,171.8230006,52.21666667,0.224083333,-2.385185158,NA,C53,C053,18
0.438290489,0.606638889,0.380249067,9.246799398,198.9528053,43.63333333,0.123833333,-3.358590056,-35.534462,C57,C057,252
0.403490439,0.515823844,0.46417569,50.18252775,185.4600102,46.26666667,0.134555556,-2.081560048,-39.520462,C58,C058,90
0.376887609,0.388083009,0.38501699,68.13805559,157.8764336,31.37222222,0.158888889,-2.363152928,NA,C60,C060,20
0.471317404,0.619362455,0.558135555,60.80918969,137.0915693,51.23333333,0.175666667,-3.638399375,-35.852462,C61,C061,1135
0.388636679,0.53508673,0.507963108,28.14164819,176.4839366,58.03333333,0.176555556,-2.726579805,-35.488462,C62,C062,396
0.411731157,0.463653288,0.449380677,100.2532623,131.1320122,61.74,0.174166667,-3.222745622,-36.126462,C64,C064,1574
0.305124896,0.520454545,0.46299407,34.90136433,220.1258491,27.1,0.113166667,-2.070648848,NA,C67,C067,2
0.50309593,0.699135276,0.596252263,33.78312641,148.4502393,51.43333333,0.133888889,-3.048670023,-33.755462,C68,C068,83
0.492149648,0.593317484,0.517208406,4.517083139,206.3910953,53.23888889,0.119555556,-2.679158054,-33.101462,C69,C069,73
0.389877757,0.561557693,0.497743042,42.3189835,174.8841697,47.67222222,0.165888889,-2.317304907,-33.617462,C70,C070,256
0.236981657,0.314293248,0.30518819,180.1216405,189.4880727,46.03333333,0.288444444,-1.95817956,NA,C73,C073,8
0.38135802,0.554353305,0.511287415,76.40329615,116.192991,44.27777778,0.190444444,-2.111356016,NA,C74,C074,40
0.27334005,0.49386282,0.455852751,69.39811749,261.2021343,48.83333333,0.093111111,-2.065822741,NA,C75,C075,30
0.274671852,0.27342305,0.263232355,32.92777379,209.9883486,47.57777778,0.167111111,-2.635932917,-30.431462,C77,C077,75
0.248069663,0.438659057,0.39224343,106.5355551,158.1754747,46.58888889,0.174888889,-2.050505095,NA,C78,C078,36
0.402709483,0.636538922,0.540906537,43.0890416,164.6908502,54.2,0.201666667,-2.005706228,-36.790462,C80,C080,7727
0.289286277,0.635853659,0.584199315,4.529749616,335.5451288,46.68333333,0.096416667,-2.222566319,NA,C81,C081,40
0.384490563,0.639487386,0.581238409,57.12958018,125.3549652,48.23333333,0.154111111,-2.53479449,NA,C82,C082,8
0.567340586,0.629134357,0.569535284,31.24125184,242.0062311,42.66666667,0.102666667,NA,-36.188462,C145,C145,387
0.440097131,0.7828125,0.605804111,17.9276585,182.8244288,28.76666667,0.089333333,-1.720441309,NA,C85,C085,19
0.434893785,0.504699423,0.473819523,111.2170893,150.0015126,54.35,0.18925,-2.400712634,NA,C86,C086,12
0.307613565,0.299195031,0.317546538,47.61957063,186.5661491,37.25555556,0.124833333,-2.677164661,NA,C89,C089,12
0.499168566,0.629924512,0.552837781,38.82159738,230.9686273,43.83333333,0.13377777800000001,-2.777988342,-37.744462,C90,C090,2293
0.410006569,0.585770273,0.470139872,35.46364085,138.8687201,55.38888889,0.147,-2.041141397,-33.356462,C94,C094,71
0.443427446,0.516562474,0.481806532,80.4512541,163.6573105,55.84444444,0.133333333,-2.922771567,-36.954462,C95,C095,79
0.361615024,0.478728636,0.458388469,62.43973923,223.659741,43.68888889,0.110222222,-3.857777435,-37.159462,C96,C096,77
0.368476516,0.440839387,0.448895901,34.21798791,153.7260061,33.66666667,0.175333333,-3.315469835,-31.658462,C99,C099,167
0.365090218,0.544612531,0.487503023,107.6641091,130.5983551,55.82222222,0.141666667,-2.467228985,NA,C101,C101,22
0.49923109,0.650307446,0.623619371,28.54679786,173.9228728,49.01111111,0.095111111,-2.840308078,NA,C103,C103,6
0.219838029,0.276455091,0.247128332,76.56634501,189.7083768,46.37777778,0.169833333,-2.280206829,NA,C107,C107,33
0.418818076,0.57984708,0.550273913,17.20822285,254.4309275,42.54444444,0.091944444,-2.925499366,NA,C109,C109,20
0.540538539,0.663868613,0.569862155,60.64081065,215.0823317,46.6,0.084666667,-3.217373954,-36.269462,C110,C110,76
0.194088056,0.227653465,0.220369636,49.55927891,324.9018664,45.37777778,0.104666667,-2.319717961,NA,C112,C112,20
0.491318656,0.609475971,0.536342011,103.3299469,148.3378279,49.77222222,0.133222222,-3.262067906,NA,C115,C115,42
0.246068846,0.399326484,0.324282911,28.30160014,226.3837111,54.7,0.161888889,-1.987555867,-36.965462,C116,C116,364
0.644825876,0.662001169,0.521436281,42.59162309,200.3868853,44.25555556,0.091555556,-2.89339526,-37.303462,C117,C117,67
0.505986491,0.658165182,0.552825538,34.94931313,212.9148365,44.05555556,0.098777778,-2.475333699,-37.644462,C119,C119,652
0.481839786,0.604075028,0.545047679,18.4059153,223.2862715,50.46666667,0.124333333,-3.271720121,NA,C120,C120,37
0.382236534,0.550375408,0.457532909,117.1716885,179.6211114,45.31111111,0.142666667,-1.615316098,-37.986462,C122,C122,315
0.332419882,0.53684013,0.501414456,62.23239602,183.3545691,60.45555556,0.167055556,-3.396989085,-37.462462,C123,C123,82
0.365272918,0.516989253,0.472435747,80.00101132,183.0104909,46.88888889,0.153555556,-1.395308545,-35.894462,C126,C126,243
0.255223369,0.529490132,0.46168557,51.40216743,169.4089439,40.27222222,0.1715,-2.589140657,NA,C129,C129,20
0.461273103,0.525316828,0.466394064,59.00751984,154.3358889,47.66666667,0.130444444,-2.572144366,-35.954462,C130,C130,189
0.31552211,0.374776083,0.390727357,91.19831255,200.0114925,43.37777778,0.127888889,-2.412463157,-34.299462,C133,C133,58
0.434357516,0.615260131,0.523098698,48.1404135,241.6239026,37.43333333,0.122444444,-2.309646084,-37.083462,C135,C135,83
0.298137019,0.593205084,0.528344244,91.37686729,231.0166209,46.03333333,0.088166667,-2.309646084,-36.857462,C137,C137,1006
0.47143667,0.522617807,0.469981544,72.78144709,203.4949011,42.92222222,0.131,NA,NA,C139,C139,21
0.303797356,0.382727824,0.415561454,41.87629191,183.4241197,50.07777778,0.153666667,-2.135381638,NA,C140,C140,1
0.431471003,0.495832515,0.445994552,45.22375637,218.5926126,44.44444444,0.1615,-2.052603403,-37.125462,C142,C142,174
0.494906994,0.729223647,0.605985532,38.42424054,203.6788613,45.8,0.089333333,-3.279483859,-37.293462,C147,C147,208
0.291375099,0.429333494,0.364719533,189.5803283,193.1999894,58.71111111,0.140111111,-2.161925229,-37.400462,C149,C149,121
0.316787326,0.44527845,0.473846947,72.63968913,133.6057288,62.13333333,0.168,-2.461353724,NA,C151,C151,47
0.356958632,0.492838597,0.43805506,74.36649365,184.8674626,44.23333333,0.161388889,-2.708954022,-33.266462,C155,C155,140
0.383655138,0.647686279,0.55788059,81.72183524,167.0931801,52.08888889,0.153,-2.362103774,NA,C158,C158,37
0.525509838,0.572955795,0.53617999,28.88706052,244.3995016,48.88888889,0.126833333,-2.033508803,-34.126462,C159,C159,147
0.254869729,0.409229881,0.381523423,70.90387938,220.6854219,51.47777778,0.119388889,-1.926704946,-35.946462,C163,C163,356
0.428715324,0.401437782,0.441864856,56.69902547,234.365381,47.45555556,0.114111111,-3.081613452,-35.433462,C164,C164,212
0.428686831,0.481079842,0.467290198,58.26407411,264.555975,41.07777778,0.089444444,-2.539410767,-39.506462,C165,C165,387
0.496088631,0.714156053,0.570360255,30.99092144,170.8849917,60.9,0.101833333,-4.471406512,-36.462462,C166,C166,898
0.561181109,0.589765195,0.514412091,43.82286708,232.2632505,40.02222222,0.086444444,-3.101337544,-36.804462,C167,C167,12974
0.373088897,0.441525424,0.414083612,59.26444329,260.1047328,42.86666667,0.096333333,-2.618936625,NA,C171,C171,1
0.416441724,0.573257343,0.534125009,17.91167263,148.1366272,47.72222222,0.147388889,-1.616365251,-34.560462,C173,C173,328
0.7247983,0.4364694,0.356324923,27.71922761,286.7795263,31.13333333,0.132777778,-2.425472664,NA,C176,C176,18
0.326341275,0.48178491,0.385951618,32.89224794,301.495544,43.88888889,0.081222222,-2.246277195,-38.346462,C177,C177,276
0.148256601,0.292952694,0.32031776,105.5479202,246.2138437,32.36666667,0.128777778,-1.46423795,-35.318462,C178,C178,344
0.271443645,0.619404389,0.529304035,81.56872559,250.4799334,50.125,0.121833333,-2.624602056,-34.387462,C179,C179,174
0.427816506,0.528625708,0.482640097,61.73767005,182.5055443,48.9,0.149333333,-2.38854245,-33.450462,C180,C180,171
0.561928276,0.432882763,0.456266131,67.08350584,163.9110447,51.8,0.121388889,-2.178501859,-36.681462,C183,C183,181
0.32507676,0.469184985,0.425913433,35.24465847,176.5983539,51.04166667,0.162541667,-3.174253733,-37.070462,C184,C184,521
0.542006672,0.599047619,0.543177893,20.70016564,189.1978072,53.33333333,0.137666667,-2.605245168,-35.281462,C188,C188,824
0.315177626,0.499747414,0.489538906,52.10939311,156.7085046,57.77777778,0.197888889,-1.561179761,NA,C189,C189,41
0.419263816,0.474407001,0.430360365,53.29720052,211.9010165,50.52222222,0.130777778,-2.428620125,-34.283462,C191,C191,83
0.461885469,0.561199844,0.501242658,59.98823505,140.3201656,51.15555556,0.136666667,-2.621244764,NA,C195,C195,17
0.36126248,0.52600776,0.409004276,80.05255212,168.9628063,48.35555556,0.169555556,-2.106110247,-31.703462,C197,C197,84
0.286899445,0.370705585,0.313713839,128.779647,168.5140345,48.09444444,0.161444444,-2.423794018,-35.271462,C199,C199,151
0.354976359,0.349364026,0.39603771,34.75029288,232.6786798,35.84444444,0.111888889,-3.604092046,-33.846462,C200,C200,111
0.219431961,0.380337079,0.37136588,150.7541784,193.1011462,54.06666667,0.166,-2.784283265,NA,C201,C201,7
0.387136921,0.504057632,0.47685738,73.49822998,201.3329053,49.32222222,0.139,-2.799810741,NA,C202,C202,51
0.487791893,0.601459854,0.523271914,65.38403893,116.8040111,47.78333333,0.147833333,-2.113873985,NA,C204,C204,16
0.234965257,0.516837694,0.422485283,47.76120313,186.1488102,58.47222222,0.186333333,-1.64909885,-34.988462,C206,C206,200
0.27104921,0.407518733,0.37539643,44.5805397,135.7990506,52.43333333,0.239222222,-2.356228513,-31.551462,C208,C208,101
0.295022274,0.655354022,0.558653756,46.48914634,152.1319751,51.21111111,0.212666667,-2.237621676,-34.952462,C210,C210,616
0.272357118,0.240594499,0.243719689,102.0740689,180.9146634,45.73333333,0.163666667,-2.605638601,-31.392462,C212,C212,81
0.453713609,0.754164953,0.583814527,6.962954415,172.7552429,67.76666667,0.114722222,-2.462402878,-36.480462,C214,C214,91
0.244696688,0.465668929,0.419575852,73.28611374,284.9073396,41.24444444,0.145666667,-2.246434568,NA,C216,C216,18
0.311009773,0.609201931,0.529597658,28.79241986,213.7765816,50.66666667,0.152666667,-2.23683481,-31.565462,C217,C217,106
0.452551488,0.636645736,0.576007473,19.81518413,193.3933378,60.02222222,0.122888889,-2.777778511,-34.934462,C218,C218,165
0.284582104,0.443708023,0.393493095,75.41661991,276.170484,43.73333333,0.135222222,-1.772269507,-33.785462,C222,C222,111
