Year,Season,Temperature,rainfall
2007,rainy,24.61666667,1559.2
2008,rainy,24.53333333,1029.4
2009,rainy,24.98333333,1139.5
2010,rainy,25.41666667,1180.9
2011,rainy,24.83333333,1388.7
2012,rainy,24.76666667,1334.5
2013,rainy,24.31666667,1014.6
2014,rainy,24.9,1079.1
2015,rainy,24.93333333,1253.7
2016,rainy,25,1507.7
2017,rainy,24.63333333,1248.73
2008,dry,19.16666667,303.4
2009,dry,19.16666667,229.3
2010,dry,19.3,259
2011,dry,19.33333333,361.3
2012,dry,19.18333333,188.9
2013,dry,20.46666667,295.8
2014,dry,18.76666667,411.7
2015,dry,19.05,362.8
2016,dry,19.13333333,247.4
2017,dry,19.66666667,408.5